date,flow
02/01/2019 19:45,11.6463
02/01/2019 20:00,10.6674
02/01/2019 20:15,11.6574
02/01/2019 20:30,10.4672
02/01/2019 20:45,10.3337
02/01/2019 21:00,11.0011
02/01/2019 21:15,10.6452
02/01/2019 21:30,10
02/01/2019 21:45,9.911
02/01/2019 22:00,9.366
02/01/2019 22:15,10.7675
02/01/2019 22:30,10.4338
02/01/2019 22:45,9.6997
02/01/2019 23:00,9.3993
02/01/2019 23:15,8.5873
02/01/2019 23:30,7.4972
02/01/2019 23:45,6.6407
03/01/2019 00:00,6.5628
03/01/2019 00:15,5.9511
03/01/2019 00:30,5.3838
03/01/2019 00:45,4.9722
03/01/2019 01:00,4.6162
03/01/2019 01:15,4.3604
03/01/2019 01:30,4.0267
03/01/2019 01:45,3.9711
03/01/2019 02:00,3.8154
03/01/2019 02:15,3.6485
03/01/2019 02:30,3.7486
03/01/2019 02:45,3.6596
03/01/2019 03:00,3.6374
03/01/2019 03:15,3.7486
03/01/2019 03:30,3.515
03/01/2019 03:45,3.7041
03/01/2019 04:00,4.0044
03/01/2019 04:15,3.5261
03/01/2019 04:30,3.7486
03/01/2019 04:45,3.5261
03/01/2019 05:00,4.1157
03/01/2019 05:15,4.0156
03/01/2019 05:30,4.5161
03/01/2019 05:45,4.9833
03/01/2019 06:00,5.2725
03/01/2019 06:15,6.1735
03/01/2019 06:30,7.8198
03/01/2019 06:45,8.0979
03/01/2019 07:00,8.6874
03/01/2019 07:15,10.7119
03/01/2019 07:30,11.8799
03/01/2019 07:45,12.1468
03/01/2019 08:00,12.0912
03/01/2019 08:15,12.4917
03/01/2019 08:30,12.158
03/01/2019 08:45,12.0912
03/01/2019 09:00,12.5806
03/01/2019 09:15,13.1146
03/01/2019 09:30,12.614
03/01/2019 09:45,12.2914
03/01/2019 10:00,13.0923
03/01/2019 10:15,13.5706
03/01/2019 10:30,13.2258
03/01/2019 10:45,13.3259
03/01/2019 11:00,13.2703
03/01/2019 11:15,13.2036
03/01/2019 11:30,12.8142
03/01/2019 11:45,13.2147
03/01/2019 12:00,12.5806
